鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,來源資料夾_,台東市,房地(土地+建物)+車位,臺東縣臺東市四維路二段246號旁浙江路的右側,17.74,住,Unnamed: 5,Unnamed: 6,1120512,土地2建物1車位1,十層,12,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,Unnamed: 14,79.4,2,1,1.1,有,無,6730000,96784,坡道機械,16.58,650000,A06戶兩房方案，附冷氣一式交易總價含下列非屬預售屋價格之費用:含裝潢費680000元；含傢俱設備費200000元；,RPSNMLPKNHIGFAV07CB,達永崌里東,A6號,Unnamed: 30,來源資料夾,臺東縣臺東市仁愛街29號旁,34.62,1120814,土地1建物1車位1,五層,5,華廈(10層含以下有電梯),住家用,102.17,2.1,8800000,88465,一樓平面,14.0,1000000,車位編號:自設車位8,RPQNMLPKQHIGFAV27DB,麗築東京天后之星,5C號
台東市,房地(土地+建物),臺東縣臺東市中正路131號後方,14.79,商,,,1111114.0,土地3建物1車位0,十一層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,82.56,2.0,2.0,2.0,有,無,6780000.0,82122.0,,0.0,0.0,,RPWNMLSKJIHGFAV37CB,大同富御,1棟11F號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
台東市,房地(土地+建物),臺東縣臺東市興安路200巷,89.54,住,,,1111118.0,土地1建物1車位0,全,4.0,透天厝,住家用,鋼筋混凝土造,,206.1,5.0,3.0,4.0,有,無,13820000.0,67055.0,,0.0,0.0,,RPPNMLNLJIHGFAV88CB,敦惠之星,A棟8號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
台東市,房地(土地+建物)+車位,臺東縣臺東市四維路二段246號旁浙江路的右側,17.32,住,,,1111114.0,土地2建物1車位1,七層,12.0,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,94.51,2.0,1.0,1.0,有,無,7030000.0,98778.0,坡道平面,33.16,970000.0,A09戶一房方案，附冷氣一式交易總價含下列非屬預售屋價格之費用:含裝潢費740000元；含傢俱設備費140000元；,RPTNMLLJKIHGFAV98CB,達永崌里東,A9號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
台東市,房地(土地+建物),臺東縣臺東市南王段592，592-7,184.25,住,,,1111201.0,土地7建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,208.21,4.0,2.0,4.0,有,無,14800000.0,71082.0,,0.0,0.0,1賣方同意贈送多功能用水龍頭五組。2賣方同意贈送前車庫全區遮雨棚採光罩，廚房左側三角採光罩不含一樓後方陽台，樣式由賣方決定。3一樓右側平台更改為塑木地板。4賣方同意贈送浴室冷暖機三台。廚具及中島費:150000元,RPPNMLSJKIHGFAV76DB,南王富御住宅,A棟A號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
台東市,房地(土地+建物),臺東縣臺東市興航段5-2地號,53.19,住,,,1111212.0,土地1建物1車位0,四層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,130.49,3.0,2.0,2.0,有,無,9000000.0,68971.0,,0.0,0.0,,RPPNMLNKKIHGFAV88CB,齊揚日光C區,C棟4C1號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
台東市,房地(土地+建物),臺東縣臺東市中正路131號後方,14.79,商,,,1111120.0,土地3建物1車位0,六層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,82.56,2.0,2.0,2.0,有,無,6580000.0,79700.0,,0.0,0.0,,RPPNMLOKKIHGFAV98CB,大同富御,1棟6F號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
台東市,房地(土地+建物)+車位,臺東縣臺東市中正路131號後方,19.75,商,,,1111121.0,土地3建物1車位1,九層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,122.95,2.0,2.0,2.0,有,無,9900000.0,82502.0,坡道平面,12.65,800000.0,,RPQNMLOKKIHGFAV09CB,大同富御,1棟9G號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
台東市,房地(土地+建物)+車位,臺東縣臺東市更生路1250號旁臺東市南榮段1069 地號,52.75,住,,,1111220.0,土地2建物1車位1,十三層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,155.92,3.0,2.0,2.0,有,無,9570000.0,71173.0,坡道平面,35.93,1030000.0,,RPQNMLKLKIHGFAV78CB,悅山水,H棟13號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
台東市,房地(土地+建物)+車位,臺東縣臺東市四維路二段246號旁浙江路的右側,17.32,住,,,1111204.0,土地2建物1車位1,十層,12.0,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,94.51,2.0,1.0,1.0,有,無,7240000.0,102200.0,坡道平面,33.16,970000.0,A10戶兩房方案，附冷氣一式交易總價含下列非屬預售屋價格之費用:含裝潢費680000元；含傢俱設備費200000元；,RPTNMLKLKIHGFAV09CB,達永崌里東,A10號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
台東市,房地(土地+建物)+車位,臺東縣臺東市四維路二段246號旁浙江路的右側,17.32,住,,,1111201.0,土地2建物1車位1,十層,12.0,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,94.51,2.0,1.0,1.0,有,無,7350000.0,103667.0,坡道平面,33.16,990000.0,A03戶兩房方案，附冷氣一式交易總價含下列非屬預售屋價格之費用:含裝潢費680000元；含傢俱設備費200000元；,RPVNMLKLKIHGFAV66CB,達永崌里東,A3號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
台東市,房地(土地+建物)+車位,臺東縣臺東市四維路二段246號旁浙江路的右側,17.32,住,,,1111203.0,土地2建物1車位1,二層,12.0,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,94.51,2.0,1.0,1.0,有,無,7210000.0,101548.0,坡道平面,33.16,980000.0,A09戶兩房方案，附冷氣一式交易總價含下列非屬預售屋價格之費用:含裝潢費680000元；含傢俱設備費200000元；,RPWNMLKLKIHGFAV76CB,達永崌里東,A9號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
台東市,房地(土地+建物)+車位,臺東縣臺東市樂利路77巷13號對面,49.94,住,,,1111215.0,土地1建物1車位1,一層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,119.85,3.0,2.0,2.0,有,無,7800000.0,65081.0,一樓平面,0.0,0.0,,RPPNMLMLKIHGFAV88CB,欣輝興安住宅興建11戶,1A號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
台東市,房地(土地+建物)+車位,臺東縣臺東市四維路二段246號旁浙江路的右側,17.32,住,,,1111128.0,土地2建物1車位1,十層,12.0,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,94.51,2.0,1.0,1.0,有,無,7260000.0,102200.0,坡道平面,33.16,990000.0,A09戶一房方案，附冷氣一式交易總價含下列非屬預售屋價格之費用:含裝潢費740000元；含傢俱設備費140000元；,RPPNMLNLKIHGFAV98CB,達永崌里東,A9號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
台東市,房地(土地+建物),臺東縣臺東市中華路二段214巷78弄35號隔壁,89.07,住,,,1111226.0,土地1建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,182.41,5.0,2.0,6.0,有,無,12750000.0,69897.0,,0.0,0.0,,RPPNMLSLKIHGFAV96DB,晉鋐豐榮,A1號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
台東市,房地(土地+建物),臺東縣臺東市中華路二段214巷78弄35號隔壁,104.54,住,,,1111226.0,土地1建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,210.37,5.0,2.0,6.0,有,無,13750000.0,65361.0,,0.0,0.0,,RPRNMLSLKIHGFAV17DB,晉鋐豐榮,A3號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
台東市,房地(土地+建物),臺東縣臺東市中華路二段214巷78弄35號隔壁,110.17,住,,,1111223.0,土地1建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,210.37,5.0,2.0,6.0,有,無,13750000.0,65361.0,,0.0,0.0,,RPSNMLSLKIHGFAV27DB,晉鋐豐榮,A4號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
台東市,房地(土地+建物),臺東縣臺東市中華路二段214巷78弄35號隔壁,90.57,住,,,1111223.0,土地1建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,182.41,5.0,2.0,6.0,有,無,12750000.0,69897.0,,0.0,0.0,,RPPNMLTLKIHGFAV07DB,晉鋐豐榮,A2號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
台東市,房地(土地+建物),臺東縣臺東市南王段592-17,145.15,住,,,1111215.0,土地6建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,176.91,4.0,2.0,4.0,有,無,12800000.0,72353.0,,0.0,0.0,1.賣方同意贈送車庫遮雨棚採光罩，樣式由賣方決定。廚具費:100000元,RPPNMLKMKIHGFAV88DB,南王富御住宅,F棟F號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
台東市,房地(土地+建物)+車位,臺東縣臺東市四維路二段246號旁浙江路的右側,17.74,住,,,1111213.0,土地2建物1車位1,三層,12.0,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,95.98,2.0,1.0,1.0,有,無,6650000.0,90099.0,坡道平面,33.16,990000.0,A06戶兩房方案，附冷氣一式交易總價含下列非屬預售屋價格之費用:含裝潢費680000元；含傢俱設備費200000元；,RPPNMLLKJHIGFAV58CB,達永崌里東,A6號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
台東市,房地(土地+建物)+車位,臺東縣臺東市四維路二段246號旁浙江路的右側,23.15,住,,,1111214.0,土地2建物1車位1,八層,12.0,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,115.24,2.0,1.0,1.0,有,無,7990000.0,85283.0,坡道平面,33.16,990000.0,,RPQNMLLKJHIGFAV68CB,達永崌里東,A12號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
台東市,房地(土地+建物)+車位,臺東縣臺東市四維路二段246號旁浙江路的右側,30.42,住,,,1111224.0,土地2建物1車位1,三層,12.0,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,141.0,3.0,2.0,2.0,有,無,9770000.0,81881.0,坡道平面,33.16,940000.0,,RPRNMLLKJHIGFAV78CB,達永崌里東,A1號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
台東市,房地(土地+建物)+車位,臺東縣臺東市四維路二段246號旁浙江路的右側,30.42,住,,,1111218.0,土地2建物1車位1,二層,12.0,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,141.0,3.0,2.0,2.0,有,無,9840000.0,82251.0,坡道平面,33.16,970000.0,,RPSNMLLKJHIGFAV88CB,達永崌里東,A1號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
台東市,房地(土地+建物)+車位,臺東縣臺東市四維路二段246號旁浙江路的右側,17.32,住,,,1111224.0,土地2建物1車位1,二層,12.0,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,94.51,2.0,1.0,1.0,有,無,7160000.0,101385.0,坡道平面,33.16,940000.0,A10戶一房方案，附冷氣一式交易總價含下列非屬預售屋價格之費用:含裝潢費740000元；含傢俱設備費140000元；,RPTNMLLKJHIGFAV98CB,達永崌里東,A10號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
台東市,房地(土地+建物)+車位,臺東縣臺東市四維路二段246號旁浙江路的右側,30.39,住,,,1120108.0,土地2建物1車位1,八層,12.0,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,140.88,3.0,2.0,2.0,有,無,10270000.0,86149.0,坡道平面,33.16,990000.0,,RPUNMLLKJHIGFAV09CB,達永崌里東,A11號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
台東市,房地(土地+建物)+車位,臺東縣臺東市四維路二段246號旁浙江路的右側,23.15,住,,,1120117.0,土地2建物1車位1,十一層,12.0,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,115.24,2.0,1.0,1.0,有,無,8270000.0,88694.0,坡道平面,33.16,990000.0,,RPPNMLLMJHIGFAV78CB,達永崌里東,A12號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
台東市,房地(土地+建物)+車位,臺東縣臺東市四維路二段246號旁浙江路的右側,17.32,住,,,1120125.0,土地2建物1車位1,十一層,12.0,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,94.51,2.0,1.0,1.0,有,無,7400000.0,104482.0,坡道平面,33.16,990000.0,A03戶一房方案，附冷氣一式交易總價含下列非屬預售屋價格之費用:含裝潢費740000元；含傢俱設備費140000元；,RPQNMLLMJHIGFAV88CB,達永崌里東,A3號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
台東市,房地(土地+建物)+車位,臺東縣臺東市四維路二段246號旁浙江路的右側,17.74,住,,,1120129.0,土地2建物1車位1,八層,12.0,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,95.98,2.0,1.0,1.0,有,無,6900000.0,94397.0,坡道平面,33.16,970000.0,A06戶一房方案，附冷氣一式交易總價含下列非屬預售屋價格之費用:含裝潢費740000元；含傢俱設備費140000元；,RPRNMLLMJHIGFAV98CB,達永崌里東,A6號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
台東市,房地(土地+建物)+車位,臺東縣臺東市四維路二段246號旁浙江路的右側,17.32,住,,,1120201.0,土地2建物1車位2,九層,12.0,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,127.67,2.0,1.0,1.0,有,無,8270000.0,102689.0,坡道平面,66.32,1970000.0,A03戶兩房方案，附冷氣一式交易總價含下列非屬預售屋價格之費用:含裝潢費680000元；含傢俱設備費200000元；,RPPNMLOKKHIGFAV98CB,達永崌里東,A3號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
台東市,房地(土地+建物)+車位,臺東縣臺東市四維路二段246號旁浙江路的右側,17.68,住,,,1120205.0,土地2建物1車位1,九層,12.0,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,95.94,2.0,1.0,1.0,有,無,6990000.0,95890.0,坡道平面,33.16,970000.0,A07戶一房方案，附冷氣一式交易總價含下列非屬預售屋價格之費用:含裝潢費740000元；含傢俱設備費140000元；,RPQNMLOKKHIGFAV09CB,達永崌里東,A7號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
台東市,房地(土地+建物),臺東縣臺東市中正路131號後方,14.79,商,,,1120128.0,土地3建物1車位0,十二層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,82.56,2.0,2.0,2.0,有,無,6870000.0,83212.0,,0.0,0.0,,RPPNMLKLKHIGFAV68CB,大同富御,1棟12F號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
台東市,房地(土地+建物)+車位,臺東縣臺東市四維路二段246號旁浙江路的右側,17.68,住,,,1120221.0,土地2建物1車位1,三層,12.0,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,95.94,2.0,1.0,1.0,有,無,6600000.0,90156.0,坡道平面,33.16,940000.0,A07戶兩房方案，附冷氣一式交易總價含下列非屬預售屋價格之費用:含裝潢費680000元；含傢俱設備費200000元；,RPPNMLNJLHIGFAV88CB,達永崌里東,A7號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
台東市,房地(土地+建物)+車位,臺東縣臺東市四維路二段246號旁浙江路的右側,30.39,住,,,1120226.0,土地2建物1車位1,三層,12.0,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,140.88,3.0,2.0,2.0,有,無,9860000.0,81879.0,坡道平面,33.16,1040000.0,,RPQNMLNJLHIGFAV98CB,達永崌里東,A11號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
台東市,房地(土地+建物)+車位,臺東縣臺東市四維路二段246號旁浙江路的右側,17.32,住,,,1120219.0,土地2建物1車位1,十二層,12.0,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,94.51,2.0,1.0,1.0,有,無,7460000.0,105460.0,坡道平面,33.16,990000.0,A02戶一房方案，附冷氣一式交易總價含下列非屬預售屋價格之費用:含裝潢費740000元；含傢俱設備費140000元；,RPRNMLNJLHIGFAV09CB,達永崌里東,A2號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
台東市,房地(土地+建物)+車位,臺東縣臺東市四維路二段246號旁浙江路的右側,30.39,住,,,1120219.0,土地2建物1車位1,六層,12.0,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,140.88,3.0,2.0,2.0,有,無,10070000.0,84293.0,坡道平面,33.16,990000.0,,RPSNMLNJLHIGFAV56CB,達永崌里東,A11號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
台東市,房地(土地+建物)+車位,臺東縣臺東市四維路二段246號旁浙江路的右側,17.68,住,,,1120221.0,土地2建物1車位1,二層,12.0,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,95.94,2.0,1.0,1.0,有,無,6540000.0,89200.0,坡道平面,33.16,940000.0,A07戶一房方案，附冷氣一式交易總價含下列非屬預售屋價格之費用:含裝潢費740000元；含傢俱設備費140000元；,RPTNMLNJLHIGFAV66CB,達永崌里東,A7號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
台東市,房地(土地+建物)+車位,臺東縣臺東市四維路二段246號旁浙江路的右側,23.15,住,,,1120225.0,土地2建物1車位1,三層,12.0,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,115.24,2.0,1.0,1.0,有,無,7650000.0,81140.0,坡道平面,33.16,990000.0,,RPUNMLNJLHIGFAV76CB,達永崌里東,A12號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
台東市,房地(土地+建物)+車位,臺東縣臺東市四維路二段246號旁浙江路的右側,17.74,住,,,1120228.0,土地2建物1車位1,二層,12.0,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,95.98,2.0,1.0,1.0,有,無,6590000.0,89303.0,坡道平面,33.16,980000.0,A06戶兩房方案，附冷氣一式交易總價含下列非屬預售屋價格之費用:含裝潢費680000元；含傢俱設備費200000元；,RPVNMLNJLHIGFAV86CB,達永崌里東,A6號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
